Incidences,Incidences_2011,poverty_percent_rural,poverty_people_rural,pop_rural,poverty_percent_urban,poverty_people_urban,pop_urban,poverty_percent_combined,poverty_people_combined,pop_combined,Unemployment_percent_rural,Unemployment_percent_urban,Unemployment_percent_combined,Unemployment_people_rural,Unemployment_people_urban,Unemployment_combined
2538,2808,22.8,127.9,560.9649122807,17.7,48.7,275.1412429379,21.1,176.6,836.9668246446,1.2,3.1,1.6,6.7315789474,8.5293785311,13.3914691943
75,65,26.2,2.7,10.3053435115,24.9,0.8,3.2128514056,25.9,3.5,13.5135135135,1.3,3.4,1.6,0.1339694656,0.1092369478,0.2162162162
1223,1303,39.9,105.3,263.9097744361,26.1,11.2,42.9118773946,37.9,116.4,307.1240105541,3.9,5.2,4,10.292481203,2.2314176245,12.2849604222
3362,3198,55.3,498.7,901.808318264,39.4,44.8,113.7055837563,53.5,543.5,1015.8878504673,2,7.3,2.6,18.0361663653,8.3005076142,26.4130841121
1065,1110,56.1,108.3,193.0481283422,23.8,13.6,57.1428571429,48.7,121.9,250.3080082136,6,2.9,0.9,11.5828877005,1.6571428571,2.2527720739
35,48,11.5,0.6,5.2173913043,6.9,0.6,8.6956521739,8.7,1.3,14.9425287356,4.7,4.1,4.6,0.2452173913,0.3565217391,0.6873563218
1048,1126,26.6,91.6,344.3609022556,17.9,44.6,249.1620111732,23,136.2,592.1739130435,0.8,1.8,1.1,2.754887218,4.4849162011,6.5139130435
1005,1062,18.6,30.4,163.4408602151,23,19.6,85.2173913043,20.1,50,248.7562189055,1.8,2.5,2,2.9419354839,2.1304347826,4.9751243781
132,130,9.1,5.6,61.5384615385,12.6,0.9,7.1428571429,9.5,6.4,67.3684210526,1.6,4.9,1.8,0.9846153846,0.35,1.2126315789
217,169,8.1,7.3,90.1234567901,12.8,4.2,32.8125,9.4,11.5,122.3404255319,2.5,6,3.2,2.2530864198,1.96875,3.914893617
1689,1747,41.6,102.2,245.6730769231,31.1,24,77.1704180064,39.1,126.2,322.7621483376,3.9,6.3,4.3,9.58125,4.8617363344,13.8787723785
1805,1820,26.1,97.4,373.1800766284,19.6,44.9,229.0816326531,23.6,142.3,602.9661016949,0.5,2.7,1.2,1.8659003831,6.1852040816,7.2355932203
363,365,12,21.6,180,12.1,18,148.7603305785,12,39.6,330,7.5,7.3,7.4,13.5,10.8595041322,24.42
2423,2511,42,216.9,516.4285714286,22.9,44.9,196.0698689956,36.7,261.8,713.3514986376,0.7,2.9,1.1,3.615,5.6860262009,7.846866485
2744,2818,29.5,179.8,609.4915254237,18.3,90.9,496.7213114754,24.5,270.8,1105.306122449,0.6,3.2,1.5,3.6569491525,15.8950819672,16.5795918367
92,78,47.4,8.8,18.5654008439,46.4,3.7,7.974137931,47.1,12.5,26.5392781316,3.8,4.8,4,0.7054852321,0.3827586207,1.0615711253
134,170,15.3,3.5,22.8758169935,24.1,1.4,5.8091286307,17.1,4.9,28.6549707602,0.4,5.1,1,0.091503268,0.2962655602,0.2865497076
48,26,31.1,1.6,5.1446945338,11.5,0.6,5.2173913043,21.1,2.3,10.9004739336,1.3,2.8,1.9,0.0668810289,0.1460869565,0.2071090047
45,46,19.3,2.8,14.5077720207,25,1.4,5.6,20.9,4.1,19.6172248804,10.6,9.2,10.3,1.5378238342,0.5152,2.0205741627
1308,1477,39.2,135.5,345.6632653061,25.9,17.7,68.3397683398,37,153.2,414.0540540541,3,4.2,3.1,10.3698979592,2.8702702703,12.8356756757
907,842,14.6,25.1,171.9178082192,18.1,18.4,101.6574585635,15.9,43.5,273.5849056604,2.6,4.8,3.3,4.4698630137,4.879558011,9.0283018868
1421,1461,26.4,133.8,506.8181818182,19.9,33.2,166.8341708543,24.8,167,673.3870967742,0.4,2.2,0.7,2.0272727273,3.6703517588,4.7137096774
17,14,15.5,0.7,4.5161290323,5,0.1,2,13.1,0.8,6.106870229,4.3,0,3.9,0.1941935484,0,0.2381679389
1875,1877,21.2,78.3,369.3396226415,12.8,43.5,339.84375,17.1,121.8,712.2807017544,1.5,3.2,2.2,5.5400943396,10.875,15.6701754386
150,163,19.8,5.4,27.2727272727,10,0.9,9,17.4,6.3,36.2068965517,9.2,17.1,10.4,2.5090909091,1.539,3.7655172414
4401,4951,39.4,600.6,1524.3654822335,31.7,137.3,433.1230283912,37.7,737.9,1957.2944297082,1.6,2.9,1.9,24.3898477157,12.5605678233,37.1885941645
176,178,14.8,10.3,69.5945945946,25.2,7.5,29.7619047619,18,17.9,99.4444444444,1,2.9,1.4,0.6959459459,0.8630952381,1.3922222222
2398,2109,28.8,177.8,617.3611111111,22,62.5,284.0909090909,26.7,240.3,900,1.9,4,2.4,11.7298611111,11.3636363636,21.6
